City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
169,Guatire,VE,2022-08-13 15:35:48,10.4762,-66.5427,300.49,86,75,1.1
170,Itaituba,BR,2022-08-13 15:35:49,-4.2761,-55.9836,305.24,62,20,0.0
171,Christchurch,NZ,2022-08-13 15:35:19,-43.5333,172.6333,275.6,93,0,0.51
172,Ust-Omchug,RU,2022-08-13 15:35:50,61.15,149.6333,285.21,91,100,0.56
173,Cayenne,GF,2022-08-13 15:34:50,4.9333,-52.3333,305.17,23,40,4.12
174,Maldonado,UY,2022-08-13 15:35:51,-34.6667,-54.9167,292.81,64,1,1.99
175,Omboue,GA,2022-08-13 15:35:52,-1.5746,9.2618,297.42,69,61,5.64
176,Kloulklubed,PW,2022-08-13 15:35:52,7.0419,134.2556,296.43,86,100,2.62
177,Gazanjyk,TM,2022-08-13 15:35:53,39.2446,55.5154,307.28,13,0,6.5
178,Liuhe,CN,2022-08-13 15:35:53,42.2401,125.7172,290.08,94,60,1.04
179,Gasa,PS,2022-08-13 15:35:54,31.5,34.4667,302.53,66,2,5.15
180,Aborlan,PH,2022-08-13 15:35:55,9.4352,118.5492,300.19,87,96,1.87
181,Honningsvag,NO,2022-08-13 15:35:55,70.9821,25.9704,284.01,76,100,2.06
182,Ulaangom,MN,2022-08-13 15:33:43,49.9811,92.0667,291.09,49,20,1.93
183,Itarema,BR,2022-08-13 15:36:56,-2.9248,-39.9167,303.32,56,27,9.43
184,Bereda,ES,2022-08-13 15:36:56,43.2686,-7.5406,303.38,48,9,2.88
185,Severo-Kurilsk,RU,2022-08-13 15:36:57,50.6789,156.125,286.21,95,100,3.81
186,Rocky Mountain House,CA,2022-08-13 15:36:57,52.3668,-114.9188,290.21,82,59,0.51
187,Acarau,BR,2022-08-13 15:36:58,-2.8856,-40.12,303.52,56,27,9.16
188,Siverek,TR,2022-08-13 15:36:59,37.755,39.3167,310.21,13,0,3.31
189,Cardston,CA,2022-08-13 15:36:59,49.2,-113.3019,298.31,38,2,3.09
190,Kaohsiung,TW,2022-08-13 15:37:00,22.6163,120.3133,301.5,81,40,1.03
191,Pevek,RU,2022-08-13 15:37:00,69.7008,170.3133,273.05,90,94,2.42
192,Port Elizabeth,ZA,2022-08-13 15:33:56,-33.918,25.5701,285.55,88,75,1.54
193,Quesnel,CA,2022-08-13 15:37:01,52.9999,-122.5029,290.43,88,100,0.0
194,Morag,PL,2022-08-13 15:37:02,53.9171,19.926,302.08,37,17,5.35
195,Qatana,SY,2022-08-13 15:37:03,33.4354,36.0815,303.39,39,0,5.27
196,Ambanja,MG,2022-08-13 15:37:03,-13.6833,48.45,298.11,71,0,0.31
197,Channel-Port Aux Basques,CA,2022-08-13 15:36:45,47.5702,-59.1367,294.25,77,7,2.95
